student_id,sleep_hours,stress_level,mental_health_rating,exercise_frequency,social_activity,exam_score,health_score,health_category
89,6.9,6.3,6.0,4,5,75,0.48,Medium
90,6.7,5.3,7.1,6,5,100,0.59,Medium
91,5.9,7.1,2.8,6,3,94,0.33,Low
92,6.9,4.7,6.4,3,5,83,0.52,Medium
93,8.4,1.5,8.8,1,3,97,0.69,High
94,7.7,4.9,8.4,5,4,96,0.66,Medium
95,4.8,6.7,8.7,4,4,73,0.5,Medium
96,8.7,3.0,7.6,7,4,84,0.76,High
97,5.8,4.5,10.0,5,0,97,0.64,Medium
98,4.4,6.1,3.9,5,0,72,0.31,Low
99,7.3,3.7,3.5,2,2,88,0.4,Medium
100,7.9,3.2,6.1,6,3,92,0.64,Medium
101,7.4,4.5,7.0,2,2,100,0.52,Medium
102,8.7,3.1,6.0,2,1,92,0.55,Medium
103,4.9,2.9,5.7,2,5,92,0.45,Medium
104,4.8,5.1,5.4,0,2,71,0.31,Low
105,7.9,6.3,6.0,6,5,100,0.56,Medium
106,6.1,3.2,7.5,3,3,76,0.56,Medium
107,9.8,5.7,10.0,7,4,89,0.81,High
108,7.1,3.1,9.0,3,4,100,0.66,Medium
109,5.7,4.5,10.0,1,2,80,0.56,Medium
110,8.8,6.2,3.6,2,1,94,0.37,Medium
111,6.2,2.3,6.1,4,2,95,0.55,Medium
112,4.8,1.0,5.8,4,4,93,0.55,Medium
113,10.4,5.0,8.4,4,5,100,0.72,High
114,5.8,1.0,2.8,1,2,100,0.37,Medium
115,7.2,4.9,9.0,4,1,69,0.62,Medium
116,5.8,5.4,6.5,2,1,65,0.41,Medium
117,8.1,6.8,7.0,1,1,89,0.44,Medium
118,8.6,4.8,8.3,6,5,100,0.72,High
119,7.6,10.0,10.0,7,5,93,0.63,Medium
120,4.4,1.8,10.0,6,1,90,0.7,High
121,6.6,5.5,9.3,1,2,63,0.53,Medium
122,5.9,5.5,6.2,6,4,92,0.52,Medium
123,9.3,3.6,7.0,6,0,86,0.68,High
124,7.8,2.0,9.4,0,1,100,0.64,Medium
125,7.9,4.3,10.0,6,0,98,0.74,High
126,8.4,6.5,8.0,6,1,97,0.62,Medium
127,10.4,10.0,6.1,4,1,74,0.46,Medium
128,7.0,3.9,5.2,1,5,97,0.45,Medium
129,8.0,3.8,2.1,5,5,80,0.46,Medium
130,7.8,1.0,4.8,6,4,99,0.65,Medium
131,5.9,5.9,8.0,4,2,93,0.52,Medium
132,9.6,5.5,6.3,5,1,94,0.59,Medium
133,7.2,5.9,6.8,2,1,87,0.45,Medium
134,7.6,3.0,6.1,2,0,75,0.51,Medium
135,8.3,5.1,3.4,5,3,58,0.46,Medium
136,4.0,5.1,6.0,3,3,84,0.38,Medium
137,9.4,5.7,6.7,3,3,99,0.57,Medium
138,5.6,1.9,4.5,1,3,68,0.42,Medium
139,4.8,5.6,10.0,1,5,100,0.52,Medium
140,7.8,5.2,6.7,2,3,100,0.51,Medium
141,9.4,2.7,6.0,0,4,98,0.56,Medium
142,6.2,4.4,4.9,6,2,50,0.49,Medium
143,6.7,7.3,2.4,3,5,72,0.28,Low
144,9.0,2.3,6.8,7,3,93,0.75,High
145,7.6,6.3,3.8,3,5,100,0.39,Medium
146,5.7,5.9,8.5,6,2,87,0.58,Medium
147,7.4,5.5,4.5,5,5,87,0.48,Medium
148,5.8,4.6,2.4,2,2,98,0.28,Low
149,6.5,2.6,10.0,1,4,84,0.65,Medium
150,6.7,2.7,6.4,2,3,100,0.53,Medium
151,7.0,3.9,6.1,5,3,100,0.56,Medium
152,8.7,2.3,8.7,3,0,100,0.69,High
153,5.5,3.7,6.6,2,0,73,0.45,Medium
154,4.3,3.0,8.5,6,4,100,0.63,Medium
155,6.5,1.0,6.0,2,1,94,0.54,Medium
156,7.8,5.6,7.2,4,4,84,0.57,Medium
157,5.3,5.6,10.0,7,5,100,0.68,High
158,9.1,8.2,4.9,0,2,60,0.34,Medium
159,5.6,1.0,7.1,7,4,100,0.7,High
160,5.6,2.9,8.3,5,0,96,0.61,Medium
161,6.9,10.0,1.1,5,0,100,0.17,Low
162,7.3,7.3,7.4,6,4,79,0.56,Medium
163,5.4,3.4,6.1,2,4,97,0.46,Medium
164,7.4,3.8,6.3,0,4,97,0.48,Medium
165,5.2,6.2,9.0,4,1,96,0.52,Medium
166,8.6,7.1,10.0,0,4,100,0.57,Medium
167,8.1,6.6,5.5,5,3,100,0.5,Medium
168,10.6,4.0,6.8,5,4,82,0.71,High
169,6.8,5.0,6.1,1,4,100,0.44,Medium
170,8.6,5.2,6.3,1,3,68,0.49,Medium
171,4.2,3.4,7.3,4,3,91,0.51,Medium
172,8.2,4.6,7.1,1,5,92,0.54,Medium
173,11.5,7.0,7.6,4,5,93,0.67,High
174,7.3,6.3,7.7,1,4,100,0.48,Medium
175,6.0,4.8,10.0,4,1,96,0.62,Medium
176,6.3,3.8,7.7,5,2,96,0.6,Medium
177,6.6,4.9,3.0,6,0,58,0.4,Medium
178,6.6,4.2,9.2,1,1,93,0.55,Medium
179,5.6,3.4,10.0,4,1,97,0.65,Medium
180,7.8,8.6,3.3,6,5,76,0.39,Medium
181,5.7,1.0,6.5,5,4,76,0.63,Medium
182,7.5,3.9,5.5,4,4,81,0.54,Medium
183,6.3,6.0,4.3,2,3,100,0.34,Medium
184,6.5,6.9,8.1,0,4,61,0.43,Medium
185,5.6,1.8,7.4,6,2,65,0.65,Medium
186,6.0,2.6,9.5,4,3,100,0.68,High
187,8.4,2.8,6.2,6,1,72,0.65,Medium
188,7.1,6.7,8.3,3,2,96,0.52,Medium
189,4.0,4.2,4.5,0,3,100,0.28,Low
190,7.0,3.3,7.9,6,5,100,0.69,High
191,8.1,4.9,7.5,5,2,100,0.62,Medium
192,4.0,6.4,4.9,3,3,88,0.3,Low
193,8.8,3.6,4.3,1,2,96,0.45,Medium
194,9.2,7.6,7.2,3,4,73,0.53,Medium
195,6.1,1.4,8.0,5,3,100,0.68,High
196,8.1,2.5,5.9,0,3,90,0.51,Medium
197,8.6,7.9,7.8,6,0,93,0.57,Medium
198,5.0,4.1,9.2,2,2,79,0.54,Medium
199,6.7,7.9,1.0,7,3,90,0.29,Low
200,7.4,8.2,3.5,1,1,83,0.24,Low
201,5.8,1.0,4.1,3,1,65,0.46,Medium
202,9.1,5.5,9.3,4,4,100,0.7,High
203,6.5,2.6,6.8,5,2,100,0.6,Medium
204,7.1,1.0,4.3,6,1,100,0.58,Medium
205,7.3,3.8,10.0,1,1,98,0.62,Medium
206,8.2,1.0,5.5,5,5,75,0.67,High
207,6.6,5.2,6.4,0,5,97,0.42,Medium
208,6.2,8.0,5.5,4,5,100,0.39,Medium
209,9.2,2.6,10.0,3,1,98,0.76,High
210,7.1,8.1,3.3,2,5,92,0.28,Low
211,5.1,3.4,4.3,5,5,82,0.46,Medium
212,8.2,4.8,7.3,1,0,88,0.51,Medium
213,7.1,5.5,8.2,0,2,82,0.48,Medium
214,7.7,2.6,8.8,1,3,85,0.63,Medium
215,8.6,2.1,8.2,0,5,100,0.64,Medium
216,4.6,3.2,6.8,2,4,98,0.47,Medium
217,4.8,3.3,5.3,4,1,100,0.44,Medium
218,7.4,5.7,8.9,3,3,63,0.59,Medium
219,4.0,5.7,7.5,0,5,91,0.37,Medium
220,5.4,4.8,8.0,7,2,100,0.6,Medium
221,6.7,8.8,6.9,1,3,91,0.35,Medium
222,5.8,2.3,7.9,2,0,100,0.55,Medium
223,6.7,3.8,8.4,3,0,88,0.58,Medium
224,8.8,10.0,7.8,6,4,90,0.55,Medium
225,8.2,3.0,6.9,5,1,89,0.64,Medium
226,5.0,3.0,9.1,6,2,93,0.66,Medium
227,7.5,7.1,7.2,5,3,92,0.53,Medium
228,7.1,1.0,6.2,4,2,90,0.62,Medium
229,5.2,8.8,6.0,2,3,79,0.29,Low
230,8.1,6.0,10.0,0,2,79,0.57,Medium
231,8.5,5.5,8.0,0,2,100,0.52,Medium
232,9.8,6.9,4.9,6,5,100,0.56,Medium
233,7.8,2.5,4.1,4,3,91,0.52,Medium
234,4.0,1.8,8.9,3,3,99,0.59,Medium
235,4.6,2.5,5.4,6,1,81,0.51,Medium
236,8.0,5.0,8.2,4,2,96,0.62,Medium
237,6.9,3.8,6.8,6,2,97,0.61,Medium
238,7.1,4.7,6.3,1,3,100,0.46,Medium
239,8.0,3.9,8.0,0,0,92,0.53,Medium
240,7.3,8.7,6.3,5,4,100,0.46,Medium
241,5.0,8.3,7.5,4,2,83,0.4,Medium
242,6.8,6.5,6.5,6,0,99,0.5,Medium
243,4.6,5.0,10.0,4,4,80,0.6,Medium
244,7.3,3.0,8.9,3,4,93,0.67,High
245,8.2,6.1,9.1,3,5,100,0.63,Medium
246,8.5,2.7,2.3,4,1,93,0.45,Medium
247,5.5,2.5,6.6,1,2,96,0.47,Medium
248,5.6,9.9,8.6,6,3,94,0.48,Medium
249,9.4,5.9,9.0,3,1,80,0.64,Medium
250,8.8,3.3,6.9,0,4,95,0.56,Medium
251,6.2,5.3,8.8,2,0,95,0.51,Medium
252,7.5,1.0,7.4,2,3,70,0.64,Medium
253,7.1,3.8,5.6,7,5,97,0.61,Medium
254,7.3,2.4,5.2,5,5,100,0.6,Medium
255,7.7,4.7,10.0,0,0,81,0.58,Medium
256,8.8,6.2,8.4,5,4,71,0.66,Medium
257,7.7,6.5,9.5,5,2,74,0.64,Medium
258,7.1,5.1,3.9,4,0,95,0.4,Medium
259,10.4,6.2,9.3,6,4,91,0.77,High
260,7.3,4.7,3.5,5,2,95,0.44,Medium
261,7.8,6.3,4.8,3,2,91,0.41,Medium
262,5.4,5.0,8.6,4,0,100,0.53,Medium
263,10.4,8.6,6.3,2,2,79,0.47,Medium
264,4.9,5.7,8.7,4,1,82,0.51,Medium
265,7.1,3.1,3.6,0,0,93,0.35,Medium
266,5.2,3.0,6.0,2,3,85,0.46,Medium
267,7.7,6.9,4.8,0,2,95,0.32,Low
268,5.5,5.7,10.0,7,4,100,0.68,High
269,5.3,4.4,6.6,7,2,98,0.56,Medium
270,9.0,4.1,3.8,4,4,100,0.51,Medium
271,9.5,3.8,9.6,2,1,100,0.7,High
272,7.1,2.4,6.4,0,4,93,0.51,Medium
273,6.6,3.5,3.1,7,5,74,0.51,Medium
274,7.1,3.8,7.0,6,5,74,0.65,Medium
275,7.7,7.4,6.5,3,4,100,0.46,Medium
276,8.6,6.4,8.1,6,0,98,0.62,Medium
277,7.6,4.8,6.8,6,4,76,0.62,Medium
278,5.1,9.3,7.5,5,5,95,0.42,Medium
279,6.9,3.5,9.5,1,4,82,0.62,Medium
280,7.0,7.0,7.5,0,0,83,0.39,Medium
281,7.2,6.7,6.4,7,2,100,0.54,Medium
282,9.3,1.4,2.0,6,1,86,0.55,Medium
283,5.7,4.0,7.0,5,2,99,0.55,Medium
284,7.9,5.5,10.0,1,2,100,0.6,Medium
285,6.8,5.1,4.1,2,2,92,0.36,Medium
286,10.2,3.5,4.1,4,2,82,0.57,Medium
287,6.8,5.2,6.6,0,5,100,0.44,Medium
288,6.9,8.7,4.3,1,0,71,0.24,Low
289,7.3,3.4,9.4,3,5,98,0.69,High
290,9.0,2.9,5.2,7,1,84,0.65,Medium
291,7.3,5.0,5.9,1,0,93,0.42,Medium
292,6.6,8.2,5.4,2,1,100,0.32,Low
293,5.4,5.0,2.7,7,2,87,0.39,Medium
294,8.7,3.6,7.9,6,2,77,0.71,High
295,7.1,5.4,4.3,6,2,90,0.47,Medium
296,8.7,1.0,6.6,2,0,82,0.62,Medium
297,4.8,3.6,6.0,6,0,87,0.5,Medium
298,5.7,5.0,5.6,2,0,97,0.38,Medium
299,6.7,5.2,8.5,5,2,98,0.61,Medium
300,7.5,3.7,5.6,4,3,92,0.54,Medium
301,6.7,7.6,8.9,4,3,93,0.54,Medium
302,9.6,3.1,8.3,3,3,100,0.71,High
303,9.0,4.9,7.4,1,5,87,0.57,Medium
304,6.8,4.1,8.4,4,0,100,0.6,Medium
305,5.4,3.2,7.4,4,0,76,0.54,Medium
306,10.4,5.7,8.9,6,4,91,0.76,High
307,4.8,1.6,7.4,7,2,93,0.65,Medium
308,7.0,7.1,6.0,3,5,98,0.44,Medium
309,5.0,4.0,3.4,1,2,93,0.29,Low
310,8.7,6.8,7.6,5,3,98,0.6,Medium
311,6.9,5.5,4.0,7,0,93,0.46,Medium
312,5.1,2.6,4.1,6,3,95,0.48,Medium
313,8.4,4.9,7.5,2,2,100,0.56,Medium
314,5.6,5.5,5.2,6,4,74,0.47,Medium
315,6.7,6.5,9.1,1,5,82,0.52,Medium
316,4.0,1.6,7.3,3,0,52,0.51,Medium
317,7.1,5.6,6.6,7,1,94,0.57,Medium
318,9.5,2.6,8.8,6,3,67,0.81,High
319,8.3,2.9,6.8,0,4,100,0.55,Medium
320,8.3,8.1,8.5,7,0,96,0.61,Medium
321,9.3,7.2,6.6,7,3,85,0.61,Medium
322,4.4,5.6,4.5,6,2,69,0.39,Medium
323,7.4,2.9,7.9,1,5,100,0.6,Medium
324,6.6,6.7,4.8,7,5,94,0.48,Medium
325,5.4,3.6,7.9,4,2,79,0.56,Medium
326,4.0,4.0,10.0,7,2,100,0.66,Medium
327,7.1,7.8,4.3,5,5,67,0.4,Medium
328,5.4,3.7,5.3,2,5,83,0.43,Medium
329,6.8,2.4,9.3,6,3,84,0.75,High
330,5.5,5.0,6.2,1,5,86,0.41,Medium
331,8.4,6.6,9.3,7,5,95,0.72,High
332,9.4,6.9,5.2,6,5,91,0.56,Medium
333,9.4,6.5,6.8,4,4,78,0.58,Medium
334,5.7,1.9,4.5,2,2,100,0.43,Medium
335,6.7,7.4,7.5,0,1,63,0.38,Medium
336,9.5,6.1,3.6,3,1,90,0.42,Medium
337,7.2,4.3,8.3,6,5,96,0.69,High
338,6.6,4.6,5.0,7,3,99,0.54,Medium
339,4.4,5.4,3.0,3,1,77,0.25,Low
340,6.3,4.1,10.0,7,4,77,0.75,High
341,8.9,4.7,5.5,4,2,74,0.55,Medium
342,8.4,5.0,7.1,7,4,100,0.67,High
343,5.0,5.2,6.8,4,1,96,0.45,Medium
344,6.6,10.0,6.7,2,2,63,0.33,Low
345,7.5,2.1,5.1,1,2,100,0.49,Medium
346,5.8,6.1,4.6,7,1,91,0.44,Medium
347,8.6,5.5,3.4,4,0,98,0.41,Medium
348,7.7,4.4,9.4,7,3,100,0.75,High
349,6.3,2.4,10.0,6,5,91,0.78,High
350,6.2,2.3,4.3,5,0,77,0.49,Medium
351,6.2,5.7,10.0,6,3,82,0.67,High
352,4.9,8.7,6.2,2,0,54,0.27,Low
353,5.5,6.0,5.5,1,4,93,0.35,Medium
354,7.6,6.4,7.5,5,5,73,0.58,Medium
355,6.5,7.4,6.5,1,4,84,0.38,Medium
356,5.7,5.6,7.5,2,1,79,0.44,Medium
357,6.3,9.2,9.0,3,5,79,0.48,Medium
358,6.1,4.6,6.7,7,2,68,0.58,Medium
359,8.0,4.8,7.7,1,3,76,0.54,Medium
360,8.5,6.8,8.6,6,5,87,0.67,High
361,7.4,6.6,10.0,0,1,100,0.52,Medium
362,8.4,4.6,5.9,0,3,100,0.46,Medium
363,4.9,3.8,5.8,5,1,89,0.47,Medium
364,7.4,5.5,7.5,5,2,98,0.58,Medium
365,7.2,4.7,7.8,7,5,97,0.68,High
366,7.6,4.4,6.5,7,4,89,0.64,Medium
367,8.3,3.4,10.0,5,3,100,0.77,High
368,6.6,7.1,6.6,7,5,84,0.55,Medium
369,8.3,6.7,10.0,3,2,97,0.63,Medium
370,7.8,5.4,7.7,1,3,94,0.52,Medium
371,7.7,6.4,8.2,6,5,98,0.64,Medium
372,7.3,2.8,10.0,6,0,80,0.76,High
373,7.5,7.1,10.0,6,4,85,0.68,High
374,4.3,3.3,9.5,0,4,94,0.52,Medium
375,9.6,5.6,4.6,2,1,100,0.45,Medium
376,6.0,2.4,7.7,2,5,95,0.58,Medium
377,6.3,7.6,6.1,1,1,66,0.33,Low
378,7.1,5.6,6.6,4,1,100,0.5,Medium
379,5.2,3.6,7.7,3,3,80,0.53,Medium
380,5.3,3.8,5.9,0,5,94,0.4,Medium
381,8.0,1.0,6.1,0,3,100,0.56,Medium
382,8.4,4.0,4.3,0,0,67,0.39,Medium
383,7.1,1.8,9.1,1,2,85,0.64,Medium
384,9.3,1.9,9.2,3,5,97,0.78,High
385,7.3,4.2,4.9,1,5,96,0.44,Medium
386,7.3,4.1,7.2,4,4,82,0.6,Medium
387,5.9,5.6,8.0,0,2,100,0.43,Medium
388,6.4,4.7,9.3,4,0,80,0.6,Medium
389,5.8,7.5,3.0,6,0,94,0.3,Low
390,9.0,3.6,7.1,5,2,90,0.67,High
391,5.1,4.7,8.9,6,0,80,0.59,Medium
392,6.9,5.5,7.2,2,2,66,0.48,Medium
393,6.9,7.5,3.2,5,5,98,0.36,Medium
394,8.5,5.5,6.3,6,5,100,0.61,Medium
395,6.2,3.9,8.2,6,5,97,0.66,Medium
396,8.9,4.8,6.3,3,2,99,0.55,Medium
397,6.2,5.5,9.2,2,2,69,0.54,Medium
398,5.4,3.4,6.5,2,5,98,0.49,Medium
399,7.3,4.0,8.1,4,3,100,0.63,Medium
400,6.7,6.1,5.1,6,3,77,0.48,Medium
401,6.9,4.5,6.0,0,4,100,0.43,Medium
402,8.0,6.5,6.1,2,0,90,0.43,Medium
403,5.5,3.1,4.7,4,0,83,0.43,Medium
404,8.7,2.4,3.0,3,4,56,0.5,Medium
405,5.6,1.0,4.6,5,5,99,0.56,Medium
406,11.4,6.6,7.3,7,1,93,0.71,High
407,6.9,3.1,6.5,1,1,100,0.49,Medium
408,7.7,2.9,2.8,7,4,79,0.54,Medium
409,7.3,3.7,8.1,0,1,100,0.52,Medium
410,6.3,4.4,9.8,6,3,92,0.7,High
411,6.6,2.7,4.9,5,1,88,0.52,Medium
412,8.7,5.2,3.4,6,3,100,0.5,Medium
413,5.1,1.0,8.0,5,0,85,0.64,Medium
414,9.4,3.8,5.5,5,5,99,0.63,Medium
415,5.9,7.4,3.4,6,0,98,0.32,Low
416,6.6,8.3,6.2,7,1,100,0.46,Medium
417,4.3,4.4,8.7,5,4,97,0.58,Medium
418,9.1,5.6,8.7,6,5,100,0.73,High
419,4.2,5.5,6.2,3,5,86,0.4,Medium
420,8.7,9.0,4.5,3,3,100,0.36,Medium
421,10.8,4.4,6.0,5,4,94,0.67,High
422,6.1,5.9,9.9,4,3,96,0.61,Medium
423,6.0,6.9,3.1,6,2,87,0.34,Medium
424,7.4,5.4,6.4,1,2,46,0.44,Medium
425,6.0,5.1,7.0,3,2,82,0.48,Medium
426,5.3,1.6,9.6,0,4,100,0.6,Medium
427,7.9,5.8,5.8,5,0,96,0.5,Medium
428,4.0,3.2,9.6,0,4,74,0.52,Medium
429,6.7,6.4,3.8,7,2,84,0.43,Medium
430,8.0,1.7,5.3,6,4,100,0.66,Medium
431,5.4,6.0,7.0,1,3,100,0.39,Medium
432,8.5,4.3,6.2,6,0,100,0.6,Medium
433,6.2,4.7,10.0,6,2,96,0.69,High
434,4.2,3.0,5.0,7,1,93,0.49,Medium
435,6.6,4.5,5.9,4,5,79,0.52,Medium
436,6.1,4.7,10.0,6,4,100,0.7,High
437,6.0,5.0,10.0,6,4,97,0.69,High
438,9.2,1.5,7.3,0,4,97,0.64,Medium
439,6.5,7.2,2.4,6,2,99,0.32,Low
440,9.1,5.4,7.7,2,3,98,0.58,Medium
441,6.0,3.2,5.8,2,4,93,0.48,Medium
442,5.7,3.9,8.3,0,5,100,0.51,Medium
443,6.8,3.5,6.6,7,5,98,0.65,Medium
444,8.3,6.4,6.6,3,0,100,0.48,Medium
445,9.3,5.9,9.4,7,4,95,0.77,High
446,5.1,7.0,3.4,4,2,76,0.28,Low
447,8.9,3.4,8.4,3,2,84,0.67,High
448,5.6,5.1,5.1,3,0,75,0.37,Medium
449,6.3,4.7,6.5,7,3,94,0.58,Medium
450,8.5,5.0,7.9,4,4,100,0.64,Medium
451,9.3,3.8,4.5,2,0,91,0.48,Medium
452,8.3,4.8,9.1,4,5,99,0.69,High
453,6.8,6.2,4.8,5,4,94,0.45,Medium
454,8.4,2.2,10.0,2,5,96,0.75,High
455,6.3,3.3,5.2,6,4,88,0.55,Medium
456,6.7,7.2,10.0,6,1,78,0.63,Medium
457,9.0,4.8,8.6,4,5,88,0.69,High
458,7.3,6.0,6.4,4,5,93,0.52,Medium
459,8.1,5.7,8.4,5,3,96,0.64,Medium
460,8.4,4.3,10.0,2,0,100,0.66,Medium
461,6.4,5.8,10.0,6,5,100,0.69,High
462,8.2,6.5,5.6,5,1,95,0.49,Medium
463,7.3,4.8,7.3,3,3,88,0.55,Medium
464,4.0,5.7,8.3,3,0,83,0.43,Medium
465,7.5,2.4,10.0,1,2,100,0.67,High
466,6.6,8.4,7.6,5,4,89,0.49,Medium
467,7.4,2.7,5.8,4,2,90,0.57,Medium
468,7.5,7.2,6.4,7,4,61,0.56,Medium
469,5.8,7.5,4.8,7,0,100,0.4,Medium
470,7.3,6.0,4.5,5,5,100,0.47,Medium
471,5.4,3.6,8.6,1,0,100,0.5,Medium
472,9.2,4.9,7.9,7,2,97,0.72,High
473,4.8,5.3,8.3,7,3,98,0.59,Medium
474,5.9,6.0,9.1,0,4,67,0.48,Medium
475,5.0,6.1,5.2,6,0,75,0.4,Medium
476,6.1,5.2,6.5,6,4,72,0.55,Medium
477,7.4,7.9,5.3,7,3,86,0.48,Medium
478,4.9,9.3,2.3,2,3,58,0.12,Low
479,6.4,5.4,7.1,6,3,100,0.57,Medium
480,5.8,5.7,5.3,1,2,95,0.34,Medium
481,8.1,3.7,10.0,4,1,91,0.72,High
482,8.2,1.0,7.5,3,3,100,0.69,High
483,8.1,4.9,5.8,6,1,96,0.57,Medium
484,6.5,4.2,10.0,7,4,94,0.75,High
485,7.2,4.0,7.7,5,1,93,0.61,Medium
486,4.5,5.8,8.4,4,3,100,0.5,Medium
487,6.7,5.3,9.9,2,1,100,0.58,Medium
488,8.5,3.8,3.2,0,5,95,0.4,Medium
489,5.2,2.6,3.9,1,1,100,0.34,Medium
490,8.7,3.4,6.0,2,3,75,0.56,Medium
491,5.6,6.1,5.2,4,2,75,0.39,Medium
492,7.8,8.0,5.5,1,2,100,0.35,Medium
493,5.9,5.3,6.9,5,2,78,0.51,Medium
494,5.5,1.7,5.8,2,0,80,0.47,Medium
495,6.0,1.5,8.0,5,5,100,0.69,High
496,8.5,7.4,4.4,1,4,94,0.36,Medium
497,9.7,6.2,5.9,6,0,100,0.58,Medium
498,4.5,6.0,4.7,6,5,100,0.41,Medium
499,4.9,5.1,4.0,7,2,86,0.42,Medium
500,7.6,10.0,2.0,6,5,100,0.29,Low
501,7.9,5.8,6.2,1,3,100,0.45,Medium
502,5.4,7.0,5.6,2,3,60,0.33,Medium
