student_id,diet_quality,exam_score,diet_category,food_suggestions
117,Good,89,Good,Good dietary habits
118,Poor,100,Poor,Improve diet quality
119,Poor,93,Poor,Improve diet quality
120,Fair,90,Fair,Good dietary habits
121,Good,63,Good,Good dietary habits
122,Poor,92,Poor,Improve diet quality
123,Fair,86,Fair,Good dietary habits
124,Fair,100,Fair,Good dietary habits
125,Good,98,Good,Good dietary habits
126,Poor,97,Poor,Improve diet quality
127,Good,74,Good,Good dietary habits
128,Poor,97,Poor,Improve diet quality
129,Good,80,Good,Good dietary habits
130,Fair,99,Fair,Good dietary habits
131,Good,93,Good,Good dietary habits
132,Good,94,Good,Good dietary habits
133,Good,87,Good,Good dietary habits
134,Good,75,Good,Good dietary habits
135,Fair,58,Fair,Good dietary habits
136,Poor,84,Poor,Improve diet quality
137,Good,99,Good,Good dietary habits
138,Poor,68,Poor,Improve diet quality
139,Good,100,Good,Good dietary habits
140,Good,100,Good,Good dietary habits
141,Good,98,Good,Good dietary habits
142,Good,50,Good,Good dietary habits
143,Good,72,Good,Good dietary habits
144,Good,93,Good,Good dietary habits
145,Good,100,Good,Good dietary habits
146,Poor,87,Poor,Improve diet quality
147,Good,87,Good,Good dietary habits
148,Good,98,Good,Good dietary habits
149,Fair,84,Fair,Good dietary habits
150,Poor,100,Poor,Improve diet quality
151,Poor,100,Poor,Improve diet quality
152,Good,100,Good,Good dietary habits
153,Good,73,Good,Good dietary habits
154,Poor,100,Poor,Improve diet quality
155,Good,94,Good,Good dietary habits
156,Good,84,Good,Good dietary habits
157,Fair,100,Fair,Good dietary habits
158,Good,60,Good,Good dietary habits
159,Poor,100,Poor,Improve diet quality
160,Poor,96,Poor,Improve diet quality
161,Fair,100,Fair,Good dietary habits
162,Good,79,Good,Good dietary habits
163,Good,97,Good,Good dietary habits
164,Fair,97,Fair,Good dietary habits
165,Good,96,Good,Good dietary habits
166,Good,100,Good,Good dietary habits
167,Fair,100,Fair,Good dietary habits
168,Good,82,Good,Good dietary habits
169,Poor,100,Poor,Improve diet quality
170,Good,68,Good,Good dietary habits
171,Good,91,Good,Good dietary habits
172,Good,92,Good,Good dietary habits
173,Poor,93,Poor,Improve diet quality
174,Good,100,Good,Good dietary habits
175,Good,96,Good,Good dietary habits
176,Good,96,Good,Good dietary habits
177,Good,58,Good,Good dietary habits
178,Fair,93,Fair,Good dietary habits
179,Fair,97,Fair,Good dietary habits
180,Good,76,Good,Good dietary habits
181,Good,76,Good,Good dietary habits
182,Good,81,Good,Good dietary habits
183,Good,100,Good,Good dietary habits
184,Good,61,Good,Good dietary habits
185,Fair,65,Fair,Good dietary habits
186,Good,100,Good,Good dietary habits
187,Good,72,Good,Good dietary habits
188,Fair,96,Fair,Good dietary habits
189,Fair,100,Fair,Good dietary habits
190,Fair,100,Fair,Good dietary habits
191,Fair,100,Fair,Good dietary habits
192,Good,88,Good,Good dietary habits
193,Fair,96,Fair,Good dietary habits
194,Poor,73,Poor,Improve diet quality
195,Fair,100,Fair,Good dietary habits
196,Good,90,Good,Good dietary habits
197,Poor,93,Poor,Improve diet quality
198,Fair,79,Fair,Good dietary habits
199,Good,90,Good,Good dietary habits
200,Good,83,Good,Good dietary habits
201,Poor,65,Poor,Improve diet quality
202,Fair,100,Fair,Good dietary habits
203,Fair,100,Fair,Good dietary habits
204,Good,100,Good,Good dietary habits
205,Good,98,Good,Good dietary habits
206,Good,75,Good,Good dietary habits
207,Good,97,Good,Good dietary habits
208,Fair,100,Fair,Good dietary habits
209,Good,98,Good,Good dietary habits
210,Poor,92,Poor,Improve diet quality
211,Good,82,Good,Good dietary habits
212,Poor,88,Poor,Improve diet quality
213,Poor,82,Poor,Improve diet quality
214,Good,85,Good,Good dietary habits
215,Good,100,Good,Good dietary habits
216,Good,98,Good,Good dietary habits
217,Fair,100,Fair,Good dietary habits
218,Good,63,Good,Good dietary habits
219,Fair,91,Fair,Good dietary habits
220,Fair,100,Fair,Good dietary habits
221,Fair,91,Fair,Good dietary habits
222,Poor,100,Poor,Improve diet quality
223,Poor,88,Poor,Improve diet quality
224,Good,90,Good,Good dietary habits
225,Good,89,Good,Good dietary habits
226,Fair,93,Fair,Good dietary habits
227,Fair,92,Fair,Good dietary habits
228,Fair,90,Fair,Good dietary habits
229,Good,79,Good,Good dietary habits
230,Good,79,Good,Good dietary habits
231,Good,100,Good,Good dietary habits
232,Good,100,Good,Good dietary habits
233,Fair,91,Fair,Good dietary habits
234,Good,99,Good,Good dietary habits
235,Poor,81,Poor,Improve diet quality
236,Good,96,Good,Good dietary habits
237,Fair,97,Fair,Good dietary habits
238,Good,100,Good,Good dietary habits
239,Good,92,Good,Good dietary habits
240,Good,100,Good,Good dietary habits
241,Good,83,Good,Good dietary habits
242,Fair,99,Fair,Good dietary habits
243,Good,80,Good,Good dietary habits
244,Good,93,Good,Good dietary habits
245,Good,100,Good,Good dietary habits
246,Fair,93,Fair,Good dietary habits
247,Fair,96,Fair,Good dietary habits
248,Good,94,Good,Good dietary habits
249,Fair,80,Fair,Good dietary habits
250,Poor,95,Poor,Improve diet quality
251,Good,95,Good,Good dietary habits
252,Good,70,Good,Good dietary habits
253,Poor,97,Poor,Improve diet quality
254,Good,100,Good,Good dietary habits
255,Fair,81,Fair,Good dietary habits
256,Poor,71,Poor,Improve diet quality
257,Good,74,Good,Good dietary habits
258,Fair,95,Fair,Good dietary habits
259,Poor,91,Poor,Improve diet quality
260,Fair,95,Fair,Good dietary habits
261,Fair,91,Fair,Good dietary habits
262,Fair,100,Fair,Good dietary habits
263,Fair,79,Fair,Good dietary habits
264,Poor,82,Poor,Improve diet quality
265,Good,93,Good,Good dietary habits
266,Good,85,Good,Good dietary habits
267,Good,95,Good,Good dietary habits
268,Fair,100,Fair,Good dietary habits
269,Good,98,Good,Good dietary habits
270,Fair,100,Fair,Good dietary habits
271,Fair,100,Fair,Good dietary habits
272,Fair,93,Fair,Good dietary habits
273,Good,74,Good,Good dietary habits
274,Poor,74,Poor,Improve diet quality
275,Poor,100,Poor,Improve diet quality
276,Good,98,Good,Good dietary habits
277,Poor,76,Poor,Improve diet quality
278,Good,95,Good,Good dietary habits
279,Good,82,Good,Good dietary habits
280,Poor,83,Poor,Improve diet quality
281,Good,100,Good,Good dietary habits
282,Good,86,Good,Good dietary habits
283,Good,99,Good,Good dietary habits
284,Fair,100,Fair,Good dietary habits
285,Fair,92,Fair,Good dietary habits
286,Fair,82,Fair,Good dietary habits
287,Fair,100,Fair,Good dietary habits
288,Poor,71,Poor,Improve diet quality
289,Good,98,Good,Good dietary habits
290,Good,84,Good,Good dietary habits
291,Good,93,Good,Good dietary habits
292,Good,100,Good,Good dietary habits
293,Good,87,Good,Good dietary habits
294,Good,77,Good,Good dietary habits
295,Good,90,Good,Good dietary habits
296,Good,82,Good,Good dietary habits
297,Fair,87,Fair,Good dietary habits
298,Poor,97,Poor,Improve diet quality
299,Good,98,Good,Good dietary habits
300,Poor,92,Poor,Improve diet quality
301,Good,93,Good,Good dietary habits
302,Good,100,Good,Good dietary habits
303,Good,87,Good,Good dietary habits
304,Good,100,Good,Good dietary habits
305,Good,76,Good,Good dietary habits
306,Poor,91,Poor,Improve diet quality
307,Good,93,Good,Good dietary habits
308,Good,98,Good,Good dietary habits
309,Good,93,Good,Good dietary habits
310,Good,98,Good,Good dietary habits
311,Poor,93,Poor,Improve diet quality
312,Poor,95,Poor,Improve diet quality
313,Poor,100,Poor,Improve diet quality
314,Good,74,Good,Good dietary habits
315,Good,82,Good,Good dietary habits
316,Good,52,Good,Good dietary habits
317,Good,94,Good,Good dietary habits
318,Fair,67,Fair,Good dietary habits
319,Good,100,Good,Good dietary habits
320,Good,96,Good,Good dietary habits
321,Good,85,Good,Good dietary habits
322,Poor,69,Poor,Improve diet quality
323,Fair,100,Fair,Good dietary habits
324,Good,94,Good,Good dietary habits
325,Fair,79,Fair,Good dietary habits
326,Good,100,Good,Good dietary habits
327,Good,67,Good,Good dietary habits
328,Poor,83,Poor,Improve diet quality
329,Good,84,Good,Good dietary habits
330,Fair,86,Fair,Good dietary habits
331,Good,95,Good,Good dietary habits
332,Good,91,Good,Good dietary habits
333,Fair,78,Fair,Good dietary habits
334,Good,100,Good,Good dietary habits
335,Good,63,Good,Good dietary habits
336,Fair,90,Fair,Good dietary habits
337,Poor,96,Poor,Improve diet quality
338,Poor,99,Poor,Improve diet quality
339,Fair,77,Fair,Good dietary habits
340,Fair,77,Fair,Good dietary habits
341,Good,74,Good,Good dietary habits
342,Fair,100,Fair,Good dietary habits
343,Poor,96,Poor,Improve diet quality
344,Good,63,Good,Good dietary habits
345,Good,100,Good,Good dietary habits
346,Good,91,Good,Good dietary habits
347,Good,98,Good,Good dietary habits
348,Good,100,Good,Good dietary habits
349,Good,91,Good,Good dietary habits
350,Fair,77,Fair,Good dietary habits
351,Fair,82,Fair,Good dietary habits
352,Poor,54,Poor,Improve diet quality
353,Fair,93,Fair,Good dietary habits
354,Fair,73,Fair,Good dietary habits
355,Fair,84,Fair,Good dietary habits
356,Good,79,Good,Good dietary habits
357,Good,79,Good,Good dietary habits
358,Fair,68,Fair,Good dietary habits
359,Good,76,Good,Good dietary habits
360,Poor,87,Poor,Improve diet quality
361,Good,100,Good,Good dietary habits
362,Good,100,Good,Good dietary habits
363,Good,89,Good,Good dietary habits
364,Fair,98,Fair,Good dietary habits
365,Fair,97,Fair,Good dietary habits
366,Good,89,Good,Good dietary habits
367,Fair,100,Fair,Good dietary habits
368,Poor,84,Poor,Improve diet quality
369,Poor,97,Poor,Improve diet quality
370,Good,94,Good,Good dietary habits
371,Fair,98,Fair,Good dietary habits
372,Good,80,Good,Good dietary habits
373,Poor,85,Poor,Improve diet quality
374,Fair,94,Fair,Good dietary habits
375,Good,100,Good,Good dietary habits
376,Poor,95,Poor,Improve diet quality
377,Good,66,Good,Good dietary habits
378,Good,100,Good,Good dietary habits
379,Fair,80,Fair,Good dietary habits
380,Fair,94,Fair,Good dietary habits
381,Good,100,Good,Good dietary habits
382,Good,67,Good,Good dietary habits
383,Good,85,Good,Good dietary habits
384,Fair,97,Fair,Good dietary habits
385,Poor,96,Poor,Improve diet quality
386,Fair,82,Fair,Good dietary habits
387,Good,100,Good,Good dietary habits
388,Good,80,Good,Good dietary habits
389,Poor,94,Poor,Improve diet quality
390,Fair,90,Fair,Good dietary habits
391,Fair,80,Fair,Good dietary habits
392,Fair,66,Fair,Good dietary habits
393,Good,98,Good,Good dietary habits
394,Good,100,Good,Good dietary habits
395,Good,97,Good,Good dietary habits
396,Good,99,Good,Good dietary habits
397,Fair,69,Fair,Good dietary habits
398,Good,98,Good,Good dietary habits
399,Fair,100,Fair,Good dietary habits
400,Good,77,Good,Good dietary habits
401,Poor,100,Poor,Improve diet quality
402,Good,90,Good,Good dietary habits
403,Fair,83,Fair,Good dietary habits
404,Poor,56,Poor,Improve diet quality
405,Fair,99,Fair,Good dietary habits
406,Good,93,Good,Good dietary habits
407,Poor,100,Poor,Improve diet quality
408,Poor,79,Poor,Improve diet quality
409,Fair,100,Fair,Good dietary habits
410,Fair,92,Fair,Good dietary habits
411,Good,88,Good,Good dietary habits
412,Good,100,Good,Good dietary habits
413,Good,85,Good,Good dietary habits
414,Fair,99,Fair,Good dietary habits
415,Good,98,Good,Good dietary habits
416,Poor,100,Poor,Improve diet quality
417,Good,97,Good,Good dietary habits
418,Good,100,Good,Good dietary habits
419,Good,86,Good,Good dietary habits
420,Fair,100,Fair,Good dietary habits
421,Good,94,Good,Good dietary habits
422,Good,96,Good,Good dietary habits
423,Fair,87,Fair,Good dietary habits
424,Fair,46,Fair,Good dietary habits
425,Fair,82,Fair,Good dietary habits
426,Good,100,Good,Good dietary habits
427,Poor,96,Poor,Improve diet quality
428,Good,74,Good,Good dietary habits
429,Good,84,Good,Good dietary habits
430,Poor,100,Poor,Improve diet quality
431,Good,100,Good,Good dietary habits
432,Fair,100,Fair,Good dietary habits
433,Poor,96,Poor,Improve diet quality
434,Poor,93,Poor,Improve diet quality
435,Fair,79,Fair,Good dietary habits
436,Good,100,Good,Good dietary habits
437,Good,97,Good,Good dietary habits
438,Poor,97,Poor,Improve diet quality
439,Good,99,Good,Good dietary habits
440,Good,98,Good,Good dietary habits
441,Good,93,Good,Good dietary habits
442,Good,100,Good,Good dietary habits
443,Good,98,Good,Good dietary habits
444,Fair,100,Fair,Good dietary habits
445,Good,95,Good,Good dietary habits
446,Poor,76,Poor,Improve diet quality
447,Good,84,Good,Good dietary habits
448,Fair,75,Fair,Good dietary habits
449,Fair,94,Fair,Good dietary habits
450,Fair,100,Fair,Good dietary habits
451,Good,91,Good,Good dietary habits
452,Good,99,Good,Good dietary habits
453,Fair,94,Fair,Good dietary habits
454,Fair,96,Fair,Good dietary habits
455,Good,88,Good,Good dietary habits
456,Good,78,Good,Good dietary habits
457,Good,88,Good,Good dietary habits
458,Fair,93,Fair,Good dietary habits
459,Good,96,Good,Good dietary habits
460,Good,100,Good,Good dietary habits
461,Fair,100,Fair,Good dietary habits
462,Fair,95,Fair,Good dietary habits
463,Good,88,Good,Good dietary habits
464,Fair,83,Fair,Good dietary habits
465,Poor,100,Poor,Improve diet quality
466,Good,89,Good,Good dietary habits
467,Poor,90,Poor,Improve diet quality
468,Good,61,Good,Good dietary habits
469,Poor,100,Poor,Improve diet quality
470,Poor,100,Poor,Improve diet quality
471,Good,100,Good,Good dietary habits
472,Good,97,Good,Good dietary habits
473,Good,98,Good,Good dietary habits
474,Fair,67,Fair,Good dietary habits
475,Fair,75,Fair,Good dietary habits
476,Poor,72,Poor,Improve diet quality
477,Fair,86,Fair,Good dietary habits
478,Good,58,Good,Good dietary habits
479,Fair,100,Fair,Good dietary habits
480,Fair,95,Fair,Good dietary habits
481,Fair,91,Fair,Good dietary habits
482,Poor,100,Poor,Improve diet quality
483,Good,96,Good,Good dietary habits
484,Good,94,Good,Good dietary habits
485,Good,93,Good,Good dietary habits
486,Fair,100,Fair,Good dietary habits
487,Good,100,Good,Good dietary habits
488,Good,95,Good,Good dietary habits
489,Fair,100,Fair,Good dietary habits
490,Fair,75,Fair,Good dietary habits
491,Good,75,Good,Good dietary habits
492,Good,100,Good,Good dietary habits
493,Fair,78,Fair,Good dietary habits
494,Good,80,Good,Good dietary habits
495,Poor,100,Poor,Improve diet quality
496,Good,94,Good,Good dietary habits
497,Fair,100,Fair,Good dietary habits
498,Poor,100,Poor,Improve diet quality
499,Fair,86,Fair,Good dietary habits
500,Poor,100,Poor,Improve diet quality
501,Good,100,Good,Good dietary habits
502,Good,60,Good,Good dietary habits
503,Good,100,Good,Good dietary habits
504,Good,65,Good,Good dietary habits
505,Fair,77,Fair,Good dietary habits
506,Good,99,Good,Good dietary habits
507,Fair,100,Fair,Good dietary habits
508,Poor,98,Poor,Improve diet quality
509,Fair,90,Fair,Good dietary habits
510,Fair,98,Fair,Good dietary habits
511,Fair,79,Fair,Good dietary habits
512,Poor,100,Poor,Improve diet quality
513,Fair,100,Fair,Good dietary habits
514,Poor,65,Poor,Improve diet quality
515,Good,94,Good,Good dietary habits
516,Fair,87,Fair,Good dietary habits
517,Fair,88,Fair,Good dietary habits
518,Good,93,Good,Good dietary habits
519,Good,100,Good,Good dietary habits
520,Poor,100,Poor,Improve diet quality
521,Good,100,Good,Good dietary habits
522,Fair,82,Fair,Good dietary habits
523,Fair,100,Fair,Good dietary habits
524,Poor,84,Poor,Improve diet quality
525,Good,95,Good,Good dietary habits
526,Good,92,Good,Good dietary habits
527,Fair,76,Fair,Good dietary habits
528,Fair,100,Fair,Good dietary habits
529,Fair,79,Fair,Good dietary habits
530,Good,85,Good,Good dietary habits
531,Good,99,Good,Good dietary habits
532,Good,100,Good,Good dietary habits
533,Good,100,Good,Good dietary habits
534,Fair,100,Fair,Good dietary habits
535,Good,96,Good,Good dietary habits
536,Good,87,Good,Good dietary habits
537,Fair,95,Fair,Good dietary habits
538,Poor,93,Poor,Improve diet quality
539,Fair,100,Fair,Good dietary habits
540,Fair,100,Fair,Good dietary habits
541,Good,84,Good,Good dietary habits
542,Fair,97,Fair,Good dietary habits
543,Fair,76,Fair,Good dietary habits
544,Good,100,Good,Good dietary habits
545,Fair,74,Fair,Good dietary habits
546,Good,85,Good,Good dietary habits
547,Poor,98,Poor,Improve diet quality
548,Fair,85,Fair,Good dietary habits
549,Good,96,Good,Good dietary habits
550,Fair,97,Fair,Good dietary habits
551,Poor,75,Poor,Improve diet quality
552,Good,98,Good,Good dietary habits
553,Good,70,Good,Good dietary habits
554,Fair,86,Fair,Good dietary habits
555,Good,85,Good,Good dietary habits
556,Good,85,Good,Good dietary habits
557,Good,100,Good,Good dietary habits
558,Poor,100,Poor,Improve diet quality
559,Good,87,Good,Good dietary habits
560,Good,76,Good,Good dietary habits
561,Good,69,Good,Good dietary habits
562,Poor,100,Poor,Improve diet quality
563,Fair,100,Fair,Good dietary habits
564,Fair,100,Fair,Good dietary habits
565,Good,86,Good,Good dietary habits
566,Fair,99,Fair,Good dietary habits
567,Good,100,Good,Good dietary habits
568,Fair,96,Fair,Good dietary habits
569,Fair,100,Fair,Good dietary habits
570,Good,100,Good,Good dietary habits
571,Fair,64,Fair,Good dietary habits
572,Poor,100,Poor,Improve diet quality
573,Poor,99,Poor,Improve diet quality
574,Poor,100,Poor,Improve diet quality
575,Fair,100,Fair,Good dietary habits
576,Fair,100,Fair,Good dietary habits
577,Good,69,Good,Good dietary habits
578,Poor,95,Poor,Improve diet quality
579,Good,100,Good,Good dietary habits
580,Fair,74,Fair,Good dietary habits
581,Poor,94,Poor,Improve diet quality
582,Fair,94,Fair,Good dietary habits
583,Good,98,Good,Good dietary habits
584,Poor,98,Poor,Improve diet quality
585,Fair,71,Fair,Good dietary habits
586,Good,83,Good,Good dietary habits
587,Poor,65,Poor,Improve diet quality
588,Good,90,Good,Good dietary habits
589,Good,100,Good,Good dietary habits
590,Fair,100,Fair,Good dietary habits
591,Good,100,Good,Good dietary habits
592,Good,98,Good,Good dietary habits
593,Good,96,Good,Good dietary habits
594,Good,90,Good,Good dietary habits
595,Good,100,Good,Good dietary habits
596,Fair,73,Fair,Good dietary habits
597,Good,91,Good,Good dietary habits
598,Good,87,Good,Good dietary habits
599,Good,95,Good,Good dietary habits
600,Poor,100,Poor,Improve diet quality
601,Poor,73,Poor,Improve diet quality
602,Poor,91,Poor,Improve diet quality
603,Good,95,Good,Good dietary habits
604,Good,100,Good,Good dietary habits
605,Fair,100,Fair,Good dietary habits
606,Good,91,Good,Good dietary habits
607,Good,58,Good,Good dietary habits
608,Poor,100,Poor,Improve diet quality
609,Fair,68,Fair,Good dietary habits
610,Fair,100,Fair,Good dietary habits
611,Fair,95,Fair,Good dietary habits
612,Good,93,Good,Good dietary habits
613,Good,100,Good,Good dietary habits
614,Good,76,Good,Good dietary habits
615,Fair,86,Fair,Good dietary habits
616,Poor,100,Poor,Improve diet quality
617,Good,63,Good,Good dietary habits
618,Fair,82,Fair,Good dietary habits
619,Fair,74,Fair,Good dietary habits
620,Good,84,Good,Good dietary habits
621,Fair,100,Fair,Good dietary habits
622,Fair,88,Fair,Good dietary habits
623,Fair,97,Fair,Good dietary habits
624,Good,96,Good,Good dietary habits
625,Good,93,Good,Good dietary habits
626,Good,87,Good,Good dietary habits
627,Poor,100,Poor,Improve diet quality
628,Fair,99,Fair,Good dietary habits
629,Fair,54,Fair,Good dietary habits
630,Fair,78,Fair,Good dietary habits
631,Good,72,Good,Good dietary habits
632,Fair,93,Fair,Good dietary habits
633,Good,98,Good,Good dietary habits
634,Poor,100,Poor,Improve diet quality
635,Fair,88,Fair,Good dietary habits
636,Good,76,Good,Good dietary habits
637,Good,84,Good,Good dietary habits
638,Good,100,Good,Good dietary habits
639,Fair,71,Fair,Good dietary habits
640,Fair,100,Fair,Good dietary habits
641,Fair,96,Fair,Good dietary habits
642,Fair,86,Fair,Good dietary habits
643,Good,89,Good,Good dietary habits
644,Good,100,Good,Good dietary habits
645,Good,75,Good,Good dietary habits
646,Good,84,Good,Good dietary habits
647,Fair,75,Fair,Good dietary habits
648,Good,99,Good,Good dietary habits
649,Good,88,Good,Good dietary habits
650,Good,62,Good,Good dietary habits
651,Poor,69,Poor,Improve diet quality
652,Good,100,Good,Good dietary habits
653,Good,100,Good,Good dietary habits
654,Poor,100,Poor,Improve diet quality
655,Fair,79,Fair,Good dietary habits
656,Poor,95,Poor,Improve diet quality
657,Good,100,Good,Good dietary habits
658,Poor,88,Poor,Improve diet quality
659,Poor,84,Poor,Improve diet quality
660,Poor,100,Poor,Improve diet quality
661,Good,89,Good,Good dietary habits
662,Poor,97,Poor,Improve diet quality
663,Good,94,Good,Good dietary habits
664,Good,65,Good,Good dietary habits
665,Good,98,Good,Good dietary habits
666,Poor,98,Poor,Improve diet quality
667,Fair,100,Fair,Good dietary habits
668,Fair,95,Fair,Good dietary habits
669,Fair,92,Fair,Good dietary habits
670,Good,96,Good,Good dietary habits
671,Good,79,Good,Good dietary habits
672,Good,85,Good,Good dietary habits
673,Good,100,Good,Good dietary habits
674,Good,73,Good,Good dietary habits
675,Fair,97,Fair,Good dietary habits
676,Good,97,Good,Good dietary habits
677,Good,91,Good,Good dietary habits
678,Poor,100,Poor,Improve diet quality
679,Good,63,Good,Good dietary habits
680,Fair,96,Fair,Good dietary habits
681,Good,98,Good,Good dietary habits
682,Fair,96,Fair,Good dietary habits
683,Poor,88,Poor,Improve diet quality
684,Fair,86,Fair,Good dietary habits
685,Fair,94,Fair,Good dietary habits
686,Fair,93,Fair,Good dietary habits
687,Poor,96,Poor,Improve diet quality
688,Good,96,Good,Good dietary habits
689,Good,100,Good,Good dietary habits
690,Good,70,Good,Good dietary habits
691,Fair,100,Fair,Good dietary habits
692,Fair,69,Fair,Good dietary habits
693,Fair,98,Fair,Good dietary habits
694,Fair,100,Fair,Good dietary habits
695,Good,88,Good,Good dietary habits
696,Good,100,Good,Good dietary habits
697,Fair,100,Fair,Good dietary habits
698,Fair,96,Fair,Good dietary habits
699,Good,80,Good,Good dietary habits
700,Poor,56,Poor,Improve diet quality
701,Poor,100,Poor,Improve diet quality
702,Good,98,Good,Good dietary habits
703,Poor,89,Poor,Improve diet quality
704,Good,88,Good,Good dietary habits
705,Fair,98,Fair,Good dietary habits
706,Good,100,Good,Good dietary habits
707,Fair,59,Fair,Good dietary habits
708,Good,97,Good,Good dietary habits
709,Good,94,Good,Good dietary habits
710,Good,72,Good,Good dietary habits
711,Good,65,Good,Good dietary habits
712,Fair,82,Fair,Good dietary habits
713,Fair,100,Fair,Good dietary habits
714,Good,100,Good,Good dietary habits
715,Good,88,Good,Good dietary habits
716,Fair,73,Fair,Good dietary habits
717,Fair,64,Fair,Good dietary habits
718,Good,98,Good,Good dietary habits
719,Poor,99,Poor,Improve diet quality
720,Good,100,Good,Good dietary habits
721,Good,77,Good,Good dietary habits
722,Fair,89,Fair,Good dietary habits
723,Good,92,Good,Good dietary habits
724,Fair,74,Fair,Good dietary habits
725,Fair,98,Fair,Good dietary habits
726,Fair,82,Fair,Good dietary habits
727,Good,97,Good,Good dietary habits
728,Fair,80,Fair,Good dietary habits
729,Good,85,Good,Good dietary habits
730,Good,79,Good,Good dietary habits
731,Good,90,Good,Good dietary habits
732,Good,98,Good,Good dietary habits
733,Good,68,Good,Good dietary habits
